Zip Code,Unemployment Rate (%)
32003,4.3
32008,4.1
32009,3.0
32011,2.8
32024,6.6
32025,4.5
32033,3.2
32034,5.5
32038,6.9
32040,3.6
32043,3.6
32044,6.0
32046,4.0
32052,8.7
32053,10.1
32054,3.4
32055,10.6
32058,8.4
32059,0.7
32060,4.5
32061,Unavailable
32062,4.9
32063,4.8
32064,13.1
32065,4.8
32066,8.5
32067,Unavailable
32068,4.1
32071,1.6
32073,4.4
32080,5.0
32081,5.9
32082,2.7
32083,2.3
32084,5.5
32086,4.0
32087,9.4
32091,5.5
32092,5.4
32094,Unavailable
32095,4.9
32096,6.5
32097,2.7
32099,Unavailable
320MX,5.3
32102,2.7
32110,4.1
32112,9.7
32113,8.1
32114,6.0
32117,5.0
32118,3.2
32119,4.5
32124,4.3
32127,3.7
32128,3.4
32129,3.7
32130,5.0
32131,4.3
32132,2.6
32133,Unavailable
32134,9.6
32136,1.7
32137,4.0
32139,8.4
32140,6.0
32141,4.7
32145,11.8
32148,5.5
32159,5.4
32162,3.4
32163,6.7
32164,3.9
32168,4.9
32169,3.4
32174,2.5
32176,5.8
32177,9.7
32179,3.3
32180,0.3
32181,6.0
32187,2.5
32189,12.5
32190,1.3
32193,4.8
32195,3.4
32202,4.8
32204,5.8
32205,3.1
32206,8.3
32207,3.6
32208,6.9
32209,10.8
32210,6.8
32211,6.8
32212,2.0
32214,Unavailable
32216,4.4
32217,6.2
32218,5.4
32219,7.6
32220,2.7
32221,3.8
32222,7.0
32223,2.8
32224,5.4
32225,4.3
32226,2.3
32227,18.2
32233,3.9
32234,4.0
32244,4.5
32246,2.5
32250,3.0
32254,8.6
32256,2.3
32257,3.2
32258,2.1
32259,2.5
32266,1.1
32277,6.7
32301,6.4
32303,4.2
32304,12.0
32305,7.5
32307,14.2
32308,3.1
32309,1.6
32310,6.4
32311,2.0
32312,3.5
32317,4.5
32320,7.8
32321,10.1
32322,6.2
32324,5.3
32327,3.6
32328,10.2
32330,Unavailable
32331,Unavailable
32332,1.5
32333,3.2
32334,3.7
32336,1.0
32340,4.4
32343,4.5
32344,6.5
32346,5.2
32347,5.7
32348,6.5
32350,Unavailable
32351,5.0
32352,5.3
32355,5.6
32356,Unavailable
32358,7.1
32359,Unavailable
32360,Unavailable
32399,Unavailable
323MH,5.3
323MX,5.3
32401,6.0
32403,9.8
32404,4.0
32405,3.7
32407,2.3
32408,3.7
32409,6.2
32413,2.7
32420,2.6
32421,3.0
32423,0.3
32424,3.8
32425,4.1
32426,Unavailable
32427,7.1
32428,5.0
32430,5.2
32431,3.5
32433,8.3
32435,7.1
32437,1.4
32438,6.1
32439,3.3
32440,2.9
32442,3.4
32443,12.6
32444,3.6
32445,2.5
32446,6.4
32448,5.6
32449,5.2
32455,5.9
32456,4.4
32459,3.7
32460,3.3
32461,0.2
32462,2.8
32463,12.9
32464,3.5
32465,4.4
32466,4.8
324MX,5.3
32501,11.9
32502,3.2
32503,5.5
32504,5.0
32505,8.0
32506,8.0
32507,7.6
32508,3.3
32509,Unavailable
32511,Unavailable
32512,Unavailable
32514,5.4
32520,Unavailable
32526,4.3
32530,Unavailable
32531,3.1
32533,5.8
32534,6.6
32535,8.7
32536,3.2
32539,2.8
32541,1.9
32542,2.7
32544,Unavailable
32547,3.3
32548,3.4
32550,5.9
32561,8.3
32563,3.3
32564,1.2
32565,2.1
32566,5.5
32567,5.6
32568,3.3
32569,5.9
32570,6.4
32571,3.1
32577,7.8
32578,4.6
32579,2.6
32580,3.2
32583,3.9
325MX,5.3
32601,5.5
32603,9.9
32605,3.4
32606,1.8
32607,4.0
32608,4.9
32609,10.0
32610,Unavailable
32611,Unavailable
32612,10.0
32615,4.8
32617,5.1
32618,9.1
32619,0.9
32621,4.0
32622,7.9
32625,4.9
32626,4.9
32628,2.4
32631,13.2
32639,Unavailable
32640,10.0
32641,7.3
32643,3.6
32648,Unavailable
32653,4.0
32656,6.1
32664,Unavailable
32666,9.9
32667,8.9
32668,3.6
32669,3.7
32680,6.5
32683,Unavailable
32686,5.2
32693,4.0
32694,4.8
32696,3.1
326MX,5.3
32701,5.7
32702,9.7
32703,3.9
32707,3.6
32708,3.7
32709,1.7
32712,4.0
32713,4.0
32714,6.1
32720,7.8
32723,Unavailable
32724,4.3
32725,3.7
32726,3.4
32730,4.2
32732,2.9
32735,2.1
32736,6.8
32738,4.5
32744,3.3
32746,2.5
32750,6.3
32751,5.3
32754,6.4
32757,5.9
32759,6.6
32763,4.4
32764,0.7
32765,4.7
32766,2.5
32767,10.9
32771,4.8
32773,4.3
32776,7.9
32778,4.5
32779,4.4
32780,5.7
32784,8.2
32789,4.0
32792,5.3
32796,6.7
32798,0.4
327MH,5.3
327MX,5.3
32801,4.0
32803,2.2
32804,2.5
32805,4.3
32806,3.0
32807,4.8
32808,10.4
32809,4.8
32810,5.9
32811,9.0
32812,4.8
32814,3.2
32815,Unavailable
32816,4.0
32817,5.8
32818,11.7
32819,7.1
32820,8.8
32821,4.1
32822,5.7
32824,4.1
32825,5.8
32826,5.3
32827,3.9
32828,5.0
32829,2.1
32830,Unavailable
32831,Unavailable
32832,3.5
32833,2.1
32835,7.9
32836,5.6
32837,5.6
32839,5.7
32901,8.2
32903,3.3
32904,4.2
32905,6.8
32907,5.0
32908,5.5
32909,5.7
32919,Unavailable
32920,2.9
32922,3.7
32925,1.7
32926,5.2
32927,5.8
32931,6.4
32934,2.5
32935,3.8
32937,4.8
32940,3.7
32948,16.6
32949,2.0
32950,1.7
32951,1.6
32952,4.3
32953,5.5
32955,3.9
32958,8.6
32960,4.5
32961,Unavailable
32962,4.4
32963,1.6
32966,6.0
32967,8.1
32968,1.8
32969,Unavailable
32976,5.4
329MH,5.3
